method_label,method_id,method_name,run_stage,checkpoint_used,checkpoint_path,checkpoint_env_steps,checkpoint_train_episode_idx,episode_index,seed,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,timeout_flag,zero_info_step_count,stall_trigger_count,recent_revisit_trigger_count,turn_ge_90_count,turn_135_count,turn_180_count,accessible_block_count,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,empty_info_reward_sum,info_reward_sum,local_frontier_block_area_mean,local_frontier_coverage,mean_block_area,obstacle_info_contribution_ratio,obstacle_info_gain_sum,obstacle_info_reward_sum,recent_revisit_penalty_sum,semantic_viz,step_penalty_sum,terminal_bonus_sum,timeout_penalty_sum,total_accessible_unknown_area,total_frontier_cluster_count,turn_penalty_sum,turn_penalty_weight_sum,value_block_cap_hit_flag,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,value_packed_block_count,value_packed_entry_count,value_total_block_count_before_cap,value_total_entry_count_before_cap,value_truncated_block_count,value_truncated_entry_count,weighted_info_gain_sum,weighted_obstacle_info_gain_sum
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,10,20261333,20261333,-17.929829216080982,600,0.5567,0,0.8985024958402662,max_episode_steps,1.0,545.0,535.0,540.0,556.0,360.0,0.0,,852.0,158.0,27.120002302858957,84.07200713886282,87.19017078391917,,,,0.03576278859212312,5.029296201703891,3.118163645056413,-64.79999999999943,,-11.999999999999833,0.0,-10.0,,,-18.31999999999977,305.3333333333333,,,,,,0.0,0.0,,,,,28.125861543199743,1.005859240340779
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,11,20261334,20261334,-79.3541821550221,600,0.3496,0,0.9367720465890182,max_episode_steps,1.0,565.0,557.0,563.0,577.0,1.0,563.0,,434.0,74.0,13.814649060376519,42.825412087167216,44.285817844978446,,,,0.03297682709447413,2.35549315776005,1.4604057578112313,-67.55999999999953,,-11.999999999999833,0.0,-10.0,,,-34.07999999999978,568.0,,,,,,0.0,0.0,,,,,14.285747691928533,0.4710986315520102
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,12,20261335,20261335,31.718034572405774,600,0.9045,0,0.8053244592346089,max_episode_steps,1.0,486.0,478.0,484.0,529.0,1.0,484.0,,1379.0,288.0,43.894933304744754,136.07429324470868,141.75803457240644,,,,0.040094667966030915,9.16732472209317,5.683741327697768,-58.07999999999953,,-11.999999999999833,0.0,-10.0,,,-29.959999999999745,499.33333333333337,,,,,,0.0,0.0,,,,,45.72839824916338,1.8334649444186346
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,13,20261336,20261336,39.29468184806631,600,0.846,0,0.831946755407654,max_episode_steps,1.0,509.0,495.0,499.0,417.0,250.0,1.0,,1318.0,228.0,41.953242999023615,130.05505329697323,134.55468184806725,,,,0.03344089175711352,7.257465404990426,4.499628551094066,-59.87999999999949,,-11.999999999999833,0.0,-10.0,,,-13.379999999999875,222.9999999999996,,,,,,0.0,0.0,,,,,43.404736080021706,1.4514930809980857
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,14,20261337,20261337,-18.02550311577847,600,0.5892,0,0.8585690515806988,max_episode_steps,1.0,532.0,512.0,515.0,421.0,261.0,0.0,,767.0,189.0,24.414368270296738,75.68454163791989,79.41449688422155,,,,0.0469681908548708,6.016056848873642,3.72995524630166,-61.79999999999945,,-11.999999999999833,0.0,-10.0,,,-13.63999999999987,227.33333333333292,,,,,,0.0,0.0,,,,,25.617579640071476,1.2032113697747284
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,15,20261338,20261338,-53.9096845101932,600,0.4829,0,0.913477537437604,max_episode_steps,1.0,551.0,542.0,544.0,559.0,0.0,544.0,,645.0,135.0,20.5309876588545,63.646061742448964,66.31031548980727,,,,0.04017857142857141,4.297183463481172,2.6642537473583277,-65.27999999999945,,-11.999999999999833,0.0,-10.0,,,-32.939999999999735,549.0,,,,,,0.0,0.0,,,,,21.390424351550735,0.8594366926962349
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,16,20261339,20261339,47.63891470583988,600,0.9325,0,0.7936772046589018,max_episode_steps,1.0,479.0,471.0,477.0,531.0,1.0,477.0,,1530.0,285.0,48.70141258612001,150.97437901697197,156.5989147058396,,,,0.03591682419659734,9.071831756238034,5.6245356888675815,-57.23999999999955,,-11.999999999999833,0.0,-10.0,,,-29.71999999999975,495.33333333333337,,,,,,0.0,0.0,,,,,50.51577893736761,1.8143663512476076
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,17,20261340,20261340,-42.10611846215459,600,0.4408,0,0.9151414309484193,max_episode_steps,1.0,555.0,548.0,550.0,564.0,369.0,0.0,,635.0,96.0,20.212677772670713,62.65930109527919,64.55388153784511,,,,0.029348822989911337,3.0557749073643885,1.8945804425659216,-65.99999999999947,,-11.999999999999833,0.0,-10.0,,,-18.659999999999762,311.00000000000006,,,,,,0.0,0.0,,,,,20.82383275414359,0.6111549814728784
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,18,20261341,20261341,5.5919482052368,600,0.8041,0,0.8452579034941764,max_episode_steps,1.0,511.0,501.0,508.0,546.0,5.0,507.0,,1174.0,203.0,37.369580637977016,115.8456999777288,119.8519482052379,,,,0.03342664251605467,6.461690689530952,4.00624822750919,-60.95999999999947,,-11.999999999999833,0.0,-10.0,,,-31.299999999999716,521.6666666666666,,,,,,0.0,0.0,,,,,38.661918775883194,1.2923381379061896
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,19,20261342,20261342,39.501139664141775,600,0.914,0,0.826955074875208,max_episode_steps,1.0,497.0,490.0,497.0,547.0,0.0,497.0,,1492.0,240.0,47.49183501862157,147.2246885577269,151.96113966414168,,,,0.031168831168831172,7.639437268410978,4.736451106414807,-59.639999999999496,,-11.999999999999833,0.0,-10.0,,,-30.819999999999727,513.6666666666667,,,,,,0.0,0.0,,,,,49.01972247230376,1.5278874536821954
