method_id,episode_idx,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,timeout_flag,group,display_name,checkpoint_path
F2,1,20261323,169.2083828951731,142,0.9572,1,0.0,coverage_reached,6.119718074798584,538.591552734375,12.471831321716309,94.58319091796875,0.04472869262099266,0.5216881036758423,6.119718074798584,6.119718074798584,0.0,0.0,12.471831321716309,12.471831321716309,0.0,0.0,0.0,4.880281925201416,2.284457206726074,152.41504956183982,-2.840000000000002,0.0,-0.36666666666666664,0.0,20.0,1491.0,268.0,47.460004030003226,8.530704949725594,1.7061409899451188,49.166145019948324,147.12601249301,5.289037068829871,0.03470154085200052,0.0,0.0,0.0,20.0,2.0,0.0,7.333333333333331,0.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,2,20261324,41.78190495012017,600,0.6745,0,0.7154742096505824,max_episode_steps,2.988333225250244,504.1716613769531,8.154999732971191,170.34548950195312,0.00892290286719799,0.16859646141529083,2.988333225250244,2.988333225250244,0.0,0.0,8.154999732971191,8.061666488647461,0.09333333373069763,0.036666665226221085,0.036666665226221085,4.9633331298828125,2.7962777614593506,96.99857161678645,-11.999999999999833,-23.800000000000068,-11.416666666666705,-8.0,0.0,942.0,205.0,29.984791278513054,6.525352666767707,1.3050705333535413,31.28986181186662,92.95285296339054,4.045718653395978,0.04170905391658188,238.0,444.0,495.0,371.0,68.0,123.0,228.33333333333348,1.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,3,20261325,99.42345189328783,600,0.8932,0,0.7104825291181365,max_episode_steps,7.284999847412109,481.5283203125,12.661666870117188,75.13412475585938,0.0118594104424119,0.15942353010177612,7.284999847412109,7.284999847412109,0.0,0.0,12.661666870117188,12.661666870117188,0.0,0.0,0.0,4.046666622161865,1.849687099456787,135.64011855995395,-11.999999999999833,-10.799999999999978,-5.416666666666655,-8.0,0.0,1320.0,273.0,42.01690497626037,8.689859892817484,1.7379719785634975,43.75487695482388,130.25240542640725,5.387713133546844,0.03972064600611086,108.0,452.0,483.0,185.0,36.0,52.0,108.33333333333327,1.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,4,20261326,160.09598042065764,203,0.9503,1,0.0392156862745098,coverage_reached,7.9064040184021,491.8866882324219,14.89162540435791,69.74346923828125,0.04159824922680855,0.3596400320529938,7.9064040184021,7.9064040184021,0.0,0.0,14.89162540435791,14.881772994995117,0.009852216579020023,0.009852216579020023,0.009852216579020023,4.53201961517334,2.0607528686523438,145.38931375399093,-4.060000000000001,-0.30000000000000004,-0.9333333333333339,0.0,20.0,1408.0,327.0,44.81803197467775,10.408733278209965,2.08174665564199,46.8997786303197,138.93589912150105,6.453414632490176,0.04438713180399077,3.0,8.0,37.0,43.0,7.0,3.0,18.66666666666666,0.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,5,20261327,64.44402845765198,600,0.8704,0,0.7387687188019967,max_episode_steps,5.646666526794434,380.4716796875,11.3100004196167,69.31280517578125,0.028609221801161766,0.6686310768127441,5.646666526794434,5.646666526794434,0.0,0.0,11.3100004196167,11.3100004196167,0.0,0.0,0.0,4.675000190734863,2.01798415184021,136.09402845765206,-11.999999999999833,-35.500000000000234,-16.150000000000126,-8.0,0.0,1321.0,291.0,42.04873596487875,9.262817687948312,1.852563537589662,43.90129950246845,130.35108149112412,5.742946966527955,0.04219837587006963,355.0,451.0,473.0,418.0,5.0,273.0,323.0,1.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,6,20261328,65.67011334887646,600,0.6743,0,0.7088186356073212,max_episode_steps,4.043333530426025,531.0083618164062,7.24833345413208,131.60557556152344,0.007173092570155859,0.11786014586687088,4.043333530426025,4.043333530426025,0.0,0.0,7.24833345413208,7.246666431427002,0.0016666667070239782,0.0016666667070239782,0.0016666667070239782,3.2249999046325684,1.8020753860473633,96.38678001554128,-11.999999999999833,-5.599999999999996,-5.116666666666656,-8.0,0.0,929.0,239.0,29.570988426474145,7.607606279792596,1.5215212559585203,31.092509682432667,91.67006412206987,4.716715893471411,0.048935298935298945,56.0,492.0,508.0,212.0,41.0,27.0,102.33333333333319,1.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,7,20261329,31.951441757263773,600,0.7041,0,0.826955074875208,max_episode_steps,5.730000019073486,710.8733520507812,11.988333702087402,124.51595306396484,0.061829179525375366,0.6276413202285767,5.730000019073486,5.730000019073486,0.0,0.0,11.988333702087402,11.976666450500488,0.011666666716337204,0.008333333767950535,0.008333333767950535,3.2916667461395264,2.1409363746643066,104.73477509059732,-11.999999999999833,-36.10000000000024,-16.68333333333347,-8.0,0.0,1025.0,182.0,32.62676333383854,5.793239928544988,1.1586479857089982,33.78541131954754,101.14296633489948,3.5918087556978935,0.034294328245713206,361.0,491.0,505.0,465.0,34.0,251.0,333.66666666666646,1.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,8,20261330,114.2931744248833,600,0.8657,0,0.6505823627287853,max_episode_steps,5.639999866485596,457.8066711425781,11.694999694824219,85.58619689941406,0.009429327212274075,0.1638338416814804,5.639999866485596,5.639999866485596,0.0,0.0,11.694999694824219,11.648333549499512,0.046666666865348816,0.02500000037252903,0.02500000037252903,6.836666584014893,2.1221606731414795,141.12650775821777,-11.999999999999833,-2.2000000000000006,-4.633333333333325,-8.0,0.0,1373.0,286.0,43.70394737303443,9.103662744856411,1.8207325489712836,45.52467992200574,135.48223685640681,5.6442709018109785,0.039994406376730546,22.0,470.0,483.0,194.0,62.0,11.0,92.66666666666664,1.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,9,20261331,164.17065708028042,262,0.9513,1,0.1444866920152091,coverage_reached,4.675572395324707,597.9961547851562,9.687023162841797,142.5355987548828,0.025791488587856293,0.5869671702384949,4.675572395324707,4.675572395324707,0.0,0.0,9.687023162841797,9.61832046508789,0.06870228797197342,0.03435114398598671,0.03435114398598671,5.282442569732666,2.4269628524780273,152.49399041361337,-5.239999999999976,-1.6000000000000003,-1.483333333333333,0.0,20.0,1477.0,342.0,47.014370189345904,10.886198107485649,2.1772396214971304,49.191609810843076,145.74454758697223,6.749442826641102,0.04426038566067041,16.0,69.0,102.0,62.0,11.0,8.0,29.666666666666647,0.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
F2,10,20261332,94.39593343040691,600,0.9281,0,0.6605657237936772,max_episode_steps,4.965000152587891,369.71832275390625,9.786666870117188,118.21170806884766,0.022592592984437943,0.26460468769073486,4.965000152587891,4.965000152587891,0.0,0.0,9.786666870117188,9.786666870117188,0.0,0.0,0.0,3.2950000762939453,2.2090280055999756,144.89593343040616,-11.999999999999833,-21.300000000000033,-9.200000000000008,-8.0,0.0,1404.0,322.0,44.690708020204234,10.249578335118066,2.049915667023611,46.74062368722784,138.54119486263312,6.354738567773202,0.043857259602288215,213.0,415.0,448.0,348.0,48.0,78.0,184.00000000000026,1.0,F,no_visit_count_channel,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt
