block,method_id,group,display_name,episode_idx,episode_seed,epsilon,success,final_coverage,episode_reward,episode_length,repeat_visit_ratio,timeout_flag,done_reason,random_action_count,greedy_action_count,random_action_ratio,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,checkpoint_path
official_final_seed_block,A,A,full_method_main,1,20261323,0.04,1,0.9548,168.51923916449385,131,0.0,0.0,coverage_reached,1,130,0.007633587786259542,3.8778626918792725,480.2137451171875,7.916030406951904,144.1426544189453,0.040591299533843994,0.6771497130393982,3.8778626918792725,3.8778626918792725,0.0,0.0,7.916030406951904,7.916030406951904,0.0,0.0,0.0,3.992366313934326,2.4946563243865967,151.6059058311605,-2.620000000000002,0.0,-0.4666666666666666,0.0,20.0,1482.0,272.0,47.173525132437796,8.658028904199107,1.7316057808398218,48.905130913277624,146.23792791055706,5.367977920603447,0.035407445977610016,0.0,0.0,1.0,27.0,1.0,0.0,9.33333333333333,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,2,20261324,0.04,1,0.9535,163.81778917635583,184,0.05945945945945946,0.0,coverage_reached,7,177,0.03804347826086957,5.16304349899292,542.4728393554688,12.086956977844238,122.26307678222656,0.036564625799655914,0.45672544836997986,5.16304349899292,5.16304349899292,0.0,0.0,12.086956977844238,12.0054349899292,0.08152174204587936,0.04891304299235344,0.04891304299235344,4.52717399597168,2.8363442420959473,148.98112250968896,-3.680000000000003,-0.7,-0.7833333333333339,0.0,20.0,1452.0,289.0,46.218595473886396,9.199155710711556,1.8398311421423101,48.05842661602876,143.27764596904788,5.703476540641168,0.038283216320042425,7.0,7.0,39.0,30.0,5.0,6.0,15.666666666666671,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,3,20261325,0.04,1,0.9517,156.01001413465823,270,0.12546125461254612,0.0,coverage_reached,8,262,0.02962962962962963,3.82962965965271,506.78887939453125,11.074073791503906,134.43714904785156,0.024162257090210915,0.38832223415374756,3.82962965965271,3.82962965965271,0.0,0.0,11.074073791503906,11.051852226257324,0.02222222276031971,0.014814814552664757,0.014814814552664757,5.655555725097656,2.9100000858306885,144.3433474679911,-5.399999999999973,-1.5000000000000002,-1.433333333333334,0.0,20.0,1399.0,319.0,44.53155307711232,10.154085369262924,2.0308170738525844,46.56237015096492,138.0478145390482,6.2955329289430155,0.04361498496035003,15.0,75.0,119.0,54.0,10.0,11.0,28.666666666666657,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,4,20261326,0.04,1,0.9565,146.68736626409327,581,0.22508591065292097,0.0,coverage_reached,19,562,0.03270223752151463,6.220309734344482,585.549072265625,13.891566276550293,98.71614074707031,0.01722731627523899,0.15113452076911926,6.220309734344482,6.220309734344482,0.0,0.0,13.891566276550293,13.781411170959473,0.1101549044251442,0.03614457696676254,0.03614457696676254,5.370051860809326,2.3633246421813965,144.540699597425,-11.619999999999841,-2.800000000000001,-3.4333333333333287,0.0,20.0,1394.0,354.0,44.37239813402045,11.268169970906195,2.2536339941812384,46.626032128201736,137.55443421546332,6.986265381961842,0.0483342435827417,28.0,282.0,397.0,135.0,41.0,15.0,68.66666666666664,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,5,20261327,0.04,1,0.9517,146.36610647351318,499,0.43,0.0,coverage_reached,19,480,0.03807615230460922,3.8997995853424072,369.0721435546875,5.641282558441162,99.8410415649414,0.016836393624544144,0.5251050591468811,3.8997995853424072,3.8997995853424072,0.0,0.0,5.641282558441162,5.641282558441162,0.0,0.0,0.0,2.394789695739746,1.4847360849380493,148.11277314017948,-9.979999999999876,-6.799999999999992,-4.966666666666657,0.0,20.0,1429.0,360.0,45.486482735663685,11.459155902616473,2.291831180523293,47.778313916186974,141.00809648055744,7.104676659622214,0.047968021319120625,68.0,269.0,339.0,182.0,56.0,30.0,99.33333333333329,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,6,20261328,0.04,1,0.956,160.60098153893443,195,0.07653061224489796,0.0,coverage_reached,7,188,0.035897435897435895,6.005128383636475,487.9333190917969,9.225641250610352,89.07722473144531,0.036850981414318085,0.5370525121688843,6.005128383636475,6.005128383636475,0.0,0.0,9.225641250610352,9.225641250610352,0.0,0.0,0.0,4.051281929016113,1.6766035556793213,147.50098153893424,-3.900000000000003,-1.4000000000000001,-1.6000000000000003,0.0,20.0,1423.0,359.0,45.295496803953434,11.427324913998094,2.2854649827996187,47.58096178675303,140.41604009225554,7.084941446678822,0.048033181696548105,14.0,0.0,36.0,59.0,13.0,12.0,31.99999999999999,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,7,20261329,0.04,1,0.9509,158.62507716108544,239,0.07083333333333333,0.0,coverage_reached,9,230,0.03765690376569038,5.234309673309326,445.12969970703125,11.523012161254883,101.09402465820312,0.026708032935857773,0.2854406237602234,5.234309673309326,5.234309673309326,0.0,0.0,11.523012161254883,11.510459899902344,0.012552301399409771,0.012552301399409771,0.012552301399409771,4.334728240966797,2.4965779781341553,145.70507716108543,-4.779999999999986,-0.9999999999999999,-1.300000000000001,0.0,20.0,1412.0,323.0,44.94535592915125,10.281409323736439,2.0562818647472874,47.001637793898546,139.33060338036893,6.3744737807165945,0.04374915346065285,10.0,53.0,88.0,57.0,7.0,7.0,25.99999999999999,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,8,20261330,0.04,0,0.9181,119.25609155561129,600,0.32945091514143093,1.0,max_episode_steps,26,574,0.043333333333333335,5.051666736602783,399.010009765625,9.979999542236328,85.60993194580078,0.014160999096930027,0.18744023144245148,5.051666736602783,5.051666736602783,0.0,0.0,9.979999542236328,9.979999542236328,0.0,0.0,0.0,4.110000133514404,2.0418412685394287,149.35609155561352,-11.999999999999833,-4.899999999999999,-5.1999999999999895,-8.0,0.0,1449.0,323.0,46.12310250803128,10.281409323736442,2.0562818647472882,48.1793843727786,142.98161777489693,6.3744737807165945,0.04267970401691334,49.0,387.0,443.0,194.0,74.0,22.0,103.99999999999996,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,9,20261331,0.04,1,0.9503,163.08361672815454,276,0.11191335740072202,0.0,coverage_reached,11,265,0.03985507246376811,4.119565010070801,592.9891357421875,10.282608985900879,156.73458862304688,0.028714383020997047,0.44969385862350464,4.119565010070801,4.119565010070801,0.0,0.0,10.282608985900879,9.985507011413574,0.2971014380455017,0.14492753148078918,0.14492753148078918,5.938405990600586,2.7679696083068848,152.77028339482098,-5.51999999999997,-2.1000000000000005,-2.0666666666666655,0.0,20.0,1481.0,336.0,47.141694143819436,10.69521217577537,2.139042435155074,49.28073657897446,146.1392518458401,6.631031548980731,0.04340524480041342,21.0,69.0,122.0,76.0,10.0,19.0,41.33333333333335,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
official_final_seed_block,A,A,full_method_main,10,20261332,0.04,0,0.9391,121.25718053963818,600,0.24792013311148087,1.0,max_episode_steps,21,579,0.035,3.3533332347869873,457.1499938964844,7.84499979019165,141.2148895263672,0.012777778320014477,0.20621666312217712,3.3533332347869873,3.3533332347869873,0.0,0.0,7.84499979019165,7.84499979019165,0.0,0.0,0.0,4.301666736602783,2.5790278911590576,146.79051387297204,-11.999999999999833,-2.0000000000000004,-3.5333333333333288,-8.0,0.0,1422.0,328.0,45.26366581533503,10.440564266828343,2.088112853365667,47.35177866870071,140.3173640275386,6.473149845433575,0.044097875773057335,20.0,356.0,423.0,153.0,41.0,9.0,70.66666666666664,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
