method_label,method_id,method_name,run_stage,checkpoint_used,checkpoint_path,checkpoint_env_steps,checkpoint_train_episode_idx,episode_index,seed,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,timeout_flag,zero_info_step_count,stall_trigger_count,recent_revisit_trigger_count,turn_ge_90_count,turn_135_count,turn_180_count,accessible_block_count,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,empty_info_reward_sum,info_reward_sum,local_frontier_block_area_mean,local_frontier_coverage,mean_block_area,obstacle_info_contribution_ratio,obstacle_info_gain_sum,obstacle_info_reward_sum,recent_revisit_penalty_sum,step_penalty_sum,terminal_bonus_sum,timeout_penalty_sum,total_accessible_unknown_area,total_frontier_cluster_count,turn_penalty_sum,turn_penalty_weight_sum,value_block_cap_hit_flag,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,value_packed_block_count,value_packed_entry_count,value_total_block_count_before_cap,value_total_entry_count_before_cap,value_truncated_block_count,value_truncated_entry_count,weighted_info_gain_sum,weighted_obstacle_info_gain_sum
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,0,20261323,20261323,170.69808603576433,210,0.95,1,0.11848341232227488,coverage_reached,0.0,70.0,55.0,10.0,60.0,7.0,8.0,5.442857265472412,1473.0,271.0,46.887046234872365,145.34984332810436,150.6980860357643,0.0,0.0,129.06137084960938,0.035489785227868005,8.626197915580727,5.348242707660054,0.0,0.0,20.0,0.0,560.4619140625,10.433333396911621,0.0,27.666666666666643,0.0,0.0,0.0,3.8428571224212646,2.3153741359710693,5.442857265472412,10.433333396911621,5.442857265472412,10.433333396911621,0.0,0.0,48.61228581798854,1.7252395831161453
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,1,20261324,20261324,168.48774218610401,281,0.953,1,0.1453900709219858,coverage_reached,0.0,120.0,85.0,13.0,65.0,12.0,9.0,5.615658283233643,1446.0,294.0,46.02760954217611,142.685589580746,148.48774218610401,0.0,0.0,89.16168212890625,0.03907496012759175,9.358310653803448,5.802152605358144,0.0,0.0,20.0,0.0,440.0213623046875,12.736655235290527,0.0,31.66666666666666,0.0,0.010676156729459763,0.010676156729459763,4.494661808013916,2.5105786323547363,5.615658283233643,12.72597885131836,5.615658283233643,12.736655235290527,0.0,0.010676156729459763,47.89927167293686,1.87166213076069
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,2,20261325,20261325,44.463434761468974,600,0.3964,0,0.913477537437604,max_episode_steps,1.0,558.0,550.0,549.0,561.0,2.0,549.0,3.9183332920074463,430.0,103.0,13.687325105903001,42.43070782829932,44.463434761468974,0.0,0.0,103.45397186279297,0.04571682201509096,3.278591827693042,2.0327269331696867,0.0,0.0,0.0,0.0,401.43499755859375,8.0,0.0,553.6666666666666,0.0,0.0,0.0,3.126666784286499,2.0936944484710693,3.9183332920074463,8.0,3.9183332920074463,8.0,0.0,0.0,14.34304347144161,0.6557183655386087
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,3,20261326,20261326,164.34334746799112,336,0.9536,1,0.12759643916913946,coverage_reached,0.0,149.0,78.0,12.0,93.0,12.0,10.0,6.913690567016602,1393.0,349.0,44.340567145402034,137.45575815074625,144.34334746799112,0.0,0.0,72.19740295410156,0.04771670768389396,11.109015027814298,6.887589317244868,0.0,0.0,20.0,0.0,466.235107421875,15.985118865966797,0.0,41.666666666666686,0.0,0.2410714328289032,0.2410714328289032,6.404761791229248,2.5086066722869873,6.913690567016602,15.377976417541504,6.913690567016602,15.985118865966797,0.0,0.6071428656578064,46.56237015096491,2.221803005562858
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,4,20261327,20261327,142.42903181248172,600,0.9205,0,0.5457570715474209,max_episode_steps,1.0,450.0,399.0,229.0,358.0,56.0,191.0,4.440000057220459,1374.0,347.0,43.735778361652855,135.58091292112385,142.42903181248172,0.0,0.0,105.07300567626953,0.04808092004988227,11.04535305057755,6.848118891358082,0.0,0.0,0.0,0.0,423.88165283203125,7.401666641235352,0.0,265.33333333333337,0.0,0.0,0.0,2.5966665744781494,1.6774168014526367,4.440000057220459,7.401666641235352,4.440000057220459,7.401666641235352,0.0,0.0,45.94484897176834,2.209070610115506
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,5,20261328,20261328,169.25741549089648,191,0.9564,1,0.057291666666666664,coverage_reached,0.0,38.0,4.0,7.0,52.0,12.0,5.0,5.36649227142334,1445.0,338.0,45.99577855355774,142.58691351602906,149.25741549089648,0.0,0.0,105.62493133544922,0.04469126008197805,10.758874153012123,6.670501974867518,0.0,0.0,20.0,0.0,484.5078430175781,12.136125564575195,0.0,24.666666666666664,0.0,0.33507853746414185,0.33507853746414185,6.041884899139404,2.4287493228912354,5.36649227142334,11.450262069702148,5.36649227142334,12.136125564575195,0.0,0.6858638525009155,48.1475533841602,2.151774830602425
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,6,20261329,20261329,165.84322365168924,192,0.9504,1,0.06217616580310881,coverage_reached,0.0,37.0,9.0,8.0,59.0,10.0,2.0,6.270833492279053,1414.0,320.0,45.009017906387975,139.52795550980284,145.84322365168924,0.0,0.0,74.8270492553711,0.04330175913396483,10.185916357881297,6.31526814188641,0.0,0.0,20.0,0.0,432.0572814941406,11.348958015441895,0.0,24.333333333333332,0.0,0.02604166604578495,0.02604166604578495,4.479166507720947,2.029110908508301,6.270833492279053,11.317708015441895,6.270833492279053,11.348958015441895,0.0,0.03125,47.04620117796422,2.0371832715762617
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,7,20261330,20261330,176.73706119644316,162,0.9542,1,0.0,coverage_reached,0.0,4.0,0.0,0.0,24.0,4.0,0.0,3.6111111640930176,1523.0,327.0,48.47859566579134,150.2836465639531,156.73706119644316,0.0,0.0,148.87974548339844,0.04117350793251075,10.408733278209967,6.453414632490181,0.0,0.0,20.0,0.0,451.03704833984375,8.604938507080078,0.0,9.333333333333332,0.0,0.03086419776082039,0.03086419776082039,4.419753074645996,2.9648149013519287,3.6111111640930176,8.574073791503906,3.6111111640930176,8.604938507080078,0.0,0.03086419776082039,50.56034232143329,2.0817466556419912
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,8,20261331,20261331,172.43478477478322,287,0.9536,1,0.06944444444444445,coverage_reached,0.0,127.0,76.0,7.0,65.0,10.0,3.0,3.98606276512146,1475.0,349.0,46.95070821210913,145.54719545753827,152.43478477478322,0.0,0.0,142.203125,0.045183842568617315,11.109015027814293,6.887589317244865,0.0,0.0,20.0,0.0,548.4982299804688,10.20905876159668,0.0,26.999999999999993,0.0,0.0,0.0,5.4285712242126465,2.730545997619629,3.98606276512146,10.20905876159668,3.98606276512146,10.20905876159668,0.0,0.0,49.172511217671996,2.2218030055628595
R_key,Anew_R5,no_efficiency_penalties,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_reward_ablations\Anew_R5.pt,650000,1422,9,20261332,20261332,82.63133659399493,600,0.5689,0,0.8435940099833611,max_episode_steps,1.0,508.0,491.0,507.0,531.0,6.0,506.0,4.7183332443237305,810.0,137.0,25.783100780887036,79.92761242074987,82.63133659399493,0.0,0.0,124.00611877441406,0.03272032481490328,4.360845440717932,2.70372417324512,0.0,0.0,0.0,0.0,570.9249877929688,9.636666297912598,0.0,516.3333333333334,0.0,0.0,0.0,3.1533334255218506,2.1011109352111816,4.7183332443237305,9.636666297912598,4.7183332443237305,9.636666297912598,0.0,0.0,26.65526986903063,0.872169088143587
