method_id,group,display_name,status,episodes,success_rate,coverage,reward,error,checkpoint_path,episode_length,repeat_visit_ratio,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,timeout_flag,coverage_gain_per_step,weighted_info_gain_per_step,zero_info_rate,recent_revisit_rate,stall_rate,turn_burden_rate,timeout_rate
B,B,classical_frontier_greedy,ok,100,0.20999999344348907,0.6428810358047485,24.117748260498047,,,515.5900268554688,0.6665165424346924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A,full_method_main,ok,100,0.7900000214576721,0.9232640266418457,145.88092041015625,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt,358.69000244140625,0.16313129663467407,5.105197906494141,444.10662841796875,10.428899765014648,112.05248260498047,0.02554544061422348,0.3668578863143921,5.105197906494141,5.105197906494141,0.0,0.0,10.428899765014648,10.340065956115723,0.08883240818977356,0.0356193371117115,0.0356193371117115,4.310462474822998,2.3800790309906006,145.78855895996094,-7.17379903793335,-3.929999589920044,-2.9238333702087402,-1.6799999475479126,15.800000190734863,1412.6800537109375,323.8299865722656,44.96699523925781,10.307827949523926,2.06156587600708,47.028564453125,139.397705078125,6.390854358673096,0.0437808521091938,39.29999923706055,162.7899932861328,206.77999877929688,95.81999969482422,14.449999809265137,32.58000183105469,58.47666549682617,0.20999999344348907,,,,,,,
C,C,local_state_ddqn,ok,100,0.0,0.4033850133419037,-45.92265319824219,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt,600.0,0.9305325150489807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69951629638672,-12.0,-55.907997131347656,-23.71416664123535,-8.0,0.0,527.030029296875,85.8499984741211,16.7758846282959,2.7326900959014893,0.5465381145477295,17.322423934936523,52.0052490234375,1.6942682266235352,0.031862255185842514,559.0800170898438,552.9500122070312,562.5800170898438,561.9299926757812,167.0800018310547,346.9200134277344,474.2833251953125,1.0,,,,,,,
D,D,no_value_tree,ok,100,0.7300000190734863,0.9056189656257629,133.6678466796875,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\D_ablation_no_value_tree.pt,377.8999938964844,0.2594691514968872,5.541120529174805,462.3007507324219,11.206951141357422,106.20916748046875,0.02353023923933506,0.3412192165851593,5.541120529174805,5.540257453918457,0.0008620689623057842,0.0007389162201434374,11.206951141357422,11.139626502990723,0.06732349842786789,0.03509734570980072,0.03509734570980072,4.474348545074463,2.2827751636505127,142.6808624267578,-7.558000564575195,-8.85300064086914,-5.0420002937316895,-2.1600000858306885,14.600000381469727,1382.8699951171875,315.4100036621094,44.01811981201172,10.039811134338379,2.007962226867676,46.02607727050781,136.45616149902344,6.22468376159668,0.043504878878593445,88.52999877929688,194.52999877929688,234.42999267578125,133.67999267578125,10.239999771118164,79.30000305175781,100.8399887084961,0.27000001072883606,,,,,,,
E,E,no_semantic_dual_state_split,ok,100,0.5299999713897705,0.8656721711158752,103.40259552001953,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\E_ablation_no_semantic_dual_state_split.pt,469.9800109863281,0.3972635269165039,5.489926338195801,477.4616394042969,11.717077255249023,109.10881042480469,0.027964938431978226,0.4005933701992035,5.489926338195801,5.489926338195801,0.0,0.0,11.717077255249023,11.660906791687012,0.05617222189903259,0.034499723464250565,0.034499723464250565,4.7727789878845215,2.4244003295898438,135.9815216064453,-9.3996000289917,-19.35700035095215,-10.662335395812988,-3.759999990463257,10.600000381469727,1319.8399658203125,291.1000061035156,42.011817932128906,9.266000747680664,1.8532001972198486,43.86500930786133,130.2366180419922,5.74492073059082,0.04205142334103584,193.57000732421875,239.64999389648438,308.05999755859375,267.17999267578125,37.97999954223633,167.2899932861328,213.2466583251953,0.4699999988079071,,,,,,,
F1,F,no_frontier_channel,ok,100,0.8799999952316284,0.9358919262886047,154.37899780273438,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F1_ablation_no_frontier_channel.pt,323.1199951171875,0.11991167068481445,5.0029520988464355,476.8295593261719,11.01910400390625,121.70137786865234,0.026626862585544586,0.39553672075271606,5.0029520988464355,5.0029520988464355,0.0,0.0,11.01910400390625,10.931842803955078,0.08725941926240921,0.04782572761178017,0.04782572761178017,4.949751853942871,2.5255303382873535,148.03758239746094,-6.462399959564209,-1.7950001955032349,-2.0411667823791504,-0.9599999785423279,17.600000381469727,1434.3499755859375,329.44000244140625,45.65677261352539,10.486401557922363,2.097280263900757,47.754058837890625,141.53602600097656,6.501568794250488,0.04389898478984833,17.950000762939453,122.30000305175781,165.9600067138672,81.51000213623047,14.100000381469727,13.430000305175781,40.82332992553711,0.11999999731779099,,,,,,,
F2,F,no_visit_count_channel,ok,100,0.3799999952316284,0.8607730865478516,114.75878143310547,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F2_ablation_no_visit_count_channel.pt,458.79998779296875,0.44849491119384766,5.618824481964111,468.0741882324219,11.278685569763184,105.30116271972656,0.022549210116267204,0.3435220718383789,5.618824481964111,5.618824481964111,0.0,0.0,11.278685569763184,11.20394515991211,0.07473916560411453,0.03889618068933487,0.03889618068933487,4.449521064758301,2.257871150970459,135.28843688964844,-9.175999641418457,-8.715999603271484,-5.277667045593262,-4.960000038146973,7.599999904632568,1313.3499755859375,288.42999267578125,41.80522537231445,9.181012153625488,1.8362025022506714,43.64142990112305,129.59620666503906,5.692227840423584,0.04185013473033905,87.16000366210938,296.05999755859375,323.57000732421875,178.3699951171875,35.150001525878906,51.56999969482422,105.55333709716797,0.6200000047683716,,,,,,,
F3,F,no_recent_trajectory_channel,ok,100,0.6499999761581421,0.8938100337982178,120.5788345336914,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F3_ablation_no_recent_trajectory_channel.pt,401.1499938964844,0.34161022305488586,5.591657638549805,454.6662902832031,11.235054016113281,103.47113037109375,0.024909088388085365,0.39934685826301575,5.591657638549805,5.591657638549805,0.0,0.0,11.235054016113281,11.171891212463379,0.06316182762384415,0.04428838565945625,0.04428838565945625,4.407853603363037,2.316549301147461,140.9431610107422,-8.023000717163086,-14.59000015258789,-7.951333522796631,-2.799999952316284,13.0,1367.010009765625,306.6600036621094,43.513282775878906,9.761290550231934,1.9522581100463867,45.465538024902344,134.89117431640625,6.051999568939209,0.04274503141641617,145.89999389648438,213.00999450683594,259.7099914550781,204.69000244140625,25.469999313354492,123.45999908447266,159.0266571044922,0.3499999940395355,,,,,,,
F4,F,no_visit_traj_channels,ok,100,0.009999999776482582,0.5005500316619873,-27.856616973876953,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F4_ablation_no_visit_traj_channels.pt,595.47998046875,0.8878868222236633,4.159821510314941,447.64178466796875,10.571098327636719,133.4989013671875,0.02877124957740307,0.5014801621437073,4.159821510314941,4.159821510314941,0.0,0.0,10.571098327636719,10.390912055969238,0.18018783628940582,0.09863603860139847,0.09863603860139847,5.449656963348389,2.9343044757843018,70.95598602294922,-11.909599304199219,-53.356998443603516,-25.825998306274414,-7.920000076293945,0.20000000298023224,692.5599975585938,132.60000610351562,22.04486846923828,4.220788955688477,0.8441578149795532,22.889028549194336,68.33910369873047,2.616889715194702,0.036555517464876175,533.5700073242188,527.760009765625,535.9000244140625,542.469970703125,28.59000015258789,489.25,516.5199584960938,0.9900000095367432,,,,,,,
F5,F,occupancy_only_canvas,ok,100,0.029999999329447746,0.5734829902648926,-10.29286003112793,,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt,585.6099853515625,0.8577704429626465,4.603898048400879,475.4554748535156,10.76306438446045,130.5615692138672,0.02019849605858326,0.44118252396583557,4.603898048400879,4.603898048400879,0.0,0.0,10.76306438446045,10.684398651123047,0.07866621762514114,0.04670422151684761,0.04670422151684761,5.01571798324585,2.6568193435668945,84.28317260742188,-11.712200164794922,-51.54399871826172,-24.159833908081055,-7.760000228881836,0.6000000238418579,822.3099975585938,159.14999389648438,26.174936294555664,5.065901756286621,1.0131802558898926,27.188119888305664,81.1423110961914,3.1408591270446777,0.03787064924836159,515.4400024414062,510.20001220703125,518.719970703125,518.6900024414062,46.720001220703125,442.0899963378906,483.1966552734375,0.9700000286102295,,,,,,,
