method_id,episode_idx,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,timeout_flag,group,display_name,checkpoint_path
F5,1,20261323,44.72094052036813,600,0.8215,0,0.8336106489184693,max_episode_steps,5.699999809265137,601.8633422851562,11.613333702087402,108.21426391601562,0.015706727281212807,0.38743168115615845,5.699999809265137,5.699999809265137,0.0,0.0,11.613333702087402,11.613333702087402,0.0,0.0,0.0,5.110000133514404,2.13352370262146,128.87094052036957,-11.999999999999833,-50.10000000000044,-14.050000000000024,-8.0,0.0,1264.0,210.0,40.23436961363117,6.684507609859603,1.336901521971921,41.57127113560304,124.72654580225662,4.144394718112955,0.03215926493108727,501.0,494.0,502.0,508.0,335.0,0.0,280.9999999999997,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,2,20261324,-24.682545704457986,600,0.551,0,0.8868552412645591,max_episode_steps,5.706666469573975,555.4466552734375,12.786666870117188,100.46499633789062,0.017437642440199852,0.093595489859581,5.706666469573975,5.706666469573975,0.0,0.0,12.786666870117188,12.773333549499512,0.013333333656191826,0.004999999888241291,0.004999999888241291,3.3533332347869873,2.3278608322143555,75.46745429554252,-11.999999999999833,-53.30000000000049,-26.850000000000247,-8.0,0.0,735.0,149.0,23.395776634508604,4.74281730413848,0.9485634608276965,24.344340095336314,72.5269075669767,2.940546728565859,0.03896443514644352,533.0,526.0,536.0,544.0,1.0,533.0,537.0,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,3,20261325,20.644796718155547,600,0.7793,0,0.8352745424292846,max_episode_steps,7.361666679382324,664.3499755859375,12.34666633605957,93.11083221435547,0.01843537576496601,0.13470596075057983,7.361666679382324,7.361666679382324,0.0,0.0,12.34666633605957,12.34666633605957,0.0,0.0,0.0,4.954999923706055,1.7342321872711182,116.16146338482308,-11.999999999999833,-50.20000000000044,-25.316666666666894,-8.0,0.0,1134.0,216.0,36.09634109324186,6.875493541569878,1.3750987083139758,37.47143980155584,111.89865738904977,4.262805995773324,0.03669724770642202,502.0,496.0,504.0,513.0,2.0,502.0,506.3333333333333,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,4,20261326,-57.18374432485888,600,0.38,0,0.9384359400998337,max_episode_steps,3.051666736602783,323.5883483886719,12.826666831970215,106.73846435546875,0.020317459478974342,0.44124120473861694,3.051666736602783,3.051666736602783,0.0,0.0,12.826666831970215,12.826666831970215,0.0,0.0,0.0,6.866666793823242,4.241360664367676,47.48292234180843,-11.999999999999833,-56.40000000000053,-28.266666666666936,-8.0,0.0,466.0,76.0,14.833240696164644,2.419155134996809,0.48383102699936176,15.317071723164004,45.98304615811042,1.4998761836980212,0.03158769742310887,564.0,559.0,568.0,567.0,1.0,564.0,565.3333333333333,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,5,20261327,-22.95601777199278,600,0.5483,0,0.8985024958402662,max_episode_steps,3.8483333587646484,664.8683471679688,8.770000457763672,174.58482360839844,0.034478455781936646,0.548458456993103,3.8483333587646484,3.8483333587646484,0.0,0.0,8.770000457763672,8.770000457763672,0.0,0.0,0.0,4.0316667556762695,2.3170833587646484,78.21064889467448,-11.999999999999833,-54.0000000000005,-27.16666666666692,-8.0,0.0,763.0,148.0,24.287044315823223,4.710986315520101,0.9421972631040206,25.229241578927255,75.28983737905206,2.920811515622463,0.03734544536966942,540.0,536.0,544.0,548.0,2.0,540.0,543.3333333333333,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,6,20261328,-3.0389684736543483,600,0.6601,0,0.8602329450915142,max_episode_steps,7.5883331298828125,572.9116821289062,14.506667137145996,76.70292663574219,0.016923660412430763,0.5025456547737122,7.5883331298828125,7.5883331298828125,0.0,0.0,14.506667137145996,14.478333473205566,0.028333334252238274,0.021666666492819786,0.021666666492819786,7.011666774749756,1.9453015327453613,94.82769819301309,-11.999999999999833,-51.700000000000465,-26.166666666666906,-8.0,0.0,917.0,220.0,29.189016563053595,7.002817496043396,1.4005634992086795,30.589580062262293,90.48595134546619,4.341746847546908,0.045785639958376714,517.0,510.0,519.0,533.0,3.0,517.0,523.3333333333333,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,7,20261329,-21.679366023225587,600,0.554,0,0.9001663893510815,max_episode_steps,3.948333263397217,591.1016845703125,13.59333324432373,149.58355712890625,0.03166288509964943,0.3843401372432709,3.948333263397217,3.948333263397217,0.0,0.0,13.59333324432373,13.59000015258789,0.0033333334140479565,0.0033333334140479565,0.0033333334140479565,4.886666774749756,3.441027879714966,79.45396731010837,-11.999999999999833,-54.1000000000005,-27.033333333333584,-8.0,0.0,785.0,101.0,24.987326065427556,3.2149298504562838,0.6429859700912572,25.630312035518834,77.4607108028255,1.9932565072828965,0.025086934923000476,541.0,534.0,541.0,542.0,0.0,540.0,540.6666666666666,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,8,20261330,-30.512018366897998,600,0.4755,0,0.9051580698835274,max_episode_steps,2.890000104904175,579.3833618164062,9.91333293914795,204.33554077148438,0.009009825065732002,0.4298226833343506,2.890000104904175,2.890000104904175,0.0,0.0,9.91333293914795,9.875,0.038333334028720856,0.01666666753590107,0.01666666753590107,6.079999923706055,3.559860944747925,71.20464829976926,-11.999999999999833,-54.4000000000005,-27.316666666666922,-8.0,0.0,698.0,118.0,22.218030055628592,3.756056656968728,0.7512113313937462,22.969241387022336,68.87589317244864,2.3287551273206124,0.0327050997782705,544.0,542.0,551.0,550.0,1.0,544.0,546.3333333333334,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,9,20261331,-52.541179990002206,600,0.3149,0,0.9500831946755408,max_episode_steps,2.9683332443237305,383.44000244140625,9.960000038146973,129.59597778320312,0.016708239912986755,0.3173862099647522,2.9683332443237305,2.9683332443237305,0.0,0.0,9.960000038146973,9.960000038146973,0.0,0.0,0.0,5.0366668701171875,3.378194570541382,36.608820009997764,-11.999999999999833,-57.10000000000054,-12.05000000000001,-8.0,0.0,355.0,80.0,11.300000959524567,2.546479089470325,0.5092958178940652,11.809296777418634,35.03000297452616,1.578817035471602,0.04312668463611861,571.0,567.0,574.0,434.0,287.0,1.0,240.99999999999952,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
F5,10,20261332,-31.818638043313165,600,0.5016,0,0.9251247920133111,max_episode_steps,3.9033334255218506,419.3666687011719,10.741666793823242,109.7548599243164,0.0359334833920002,0.37242603302001953,3.9033334255218506,3.9033334255218506,0.0,0.0,10.741666793823242,10.741666793823242,0.0,0.0,0.0,4.954999923706055,2.772777795791626,71.6980286233541,-11.999999999999833,-55.60000000000052,-27.91666666666693,-8.0,0.0,708.0,93.0,22.536339941812372,2.960281941509252,0.5920563883018507,23.128396330114228,69.86265381961836,1.8353748037357367,0.025598678777869532,556.0,549.0,556.0,564.0,1.0,555.0,558.3333333333333,1.0,F,occupancy_only_canvas,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\F5_ablation_occupancy_only_canvas.pt
