method_id,late_window_row_count,final_logged_env_steps,late_window_mean_coverage,late_window_peak_coverage,final_logged_coverage,coverage_drop_from_late_peak,coverage_declined_late_stage,late_window_mean_success_rate,late_window_peak_success_rate,final_logged_success_rate,success_drop_from_late_peak,success_declined_late_stage,late_window_mean_timeout_rate,late_window_min_timeout_rate,final_logged_timeout_rate,timeout_increase_from_late_min,timeout_increased_late_stage,late_window_mean_episode_length,late_window_min_episode_length,final_logged_episode_length,episode_length_increase_from_late_min,episode_length_increased_late_stage,late_stage_degradation_signal
A,201,500000,0.9309386059,0.9474009871,0.9401469231,0.007254064083,True,0.7732338348,0.8899999857,0.8799999952,0.009999990463,True,0.2267661691,0.1099999994,0.1199999973,0.009999997914,True,366.0617413,324.3399963,335.7000122,11.36001587,True,True
F1,201,500000,0.939966375,0.9448989034,0.9372969866,0.00760191679,True,0.8407462657,0.8999999762,0.7900000215,0.1099999547,True,0.1592537319,0.1000000015,0.2099999934,0.109999992,True,347.702736,319.5599976,350.3900146,30.83001709,True,True
R1,201,500000,0.9263095266,0.9353579879,0.9177039862,0.01765400171,True,0.7833830779,0.8299999833,0.7699999809,0.06000000238,True,0.216616915,0.1700000018,0.2300000042,0.06000000238,True,380.9665669,350.1499939,361.1499939,11,True,True
R2,201,500000,0.9191625726,0.934433043,0.9162430763,0.01818996668,True,0.6727363215,0.7599999905,0.6700000167,0.08999997377,True,0.3272636829,0.2399999946,0.3300000131,0.09000001848,True,385.5755216,364.3599854,391.3599854,27,True,True
R3,201,500000,0.9266632614,0.9455509782,0.9141950011,0.03135597706,True,0.7105472675,0.8199999928,0.6600000262,0.1599999666,True,0.2894527378,0.1800000072,0.3400000036,0.1599999964,True,391.8006967,365.1000061,392.7399902,27.63998413,True,True
R4,201,500000,0.9305828825,0.9401000142,0.9239930511,0.01610696316,True,0.7894527325,0.8799999952,0.6399999857,0.2400000095,True,0.2105472645,0.1199999973,0.3600000143,0.240000017,True,366.5955218,348.980011,392.8999939,43.91998291,True,True
R5,201,500000,0.9153083177,0.9265630841,0.9260130525,0.000550031662,True,0.6556218925,0.7300000191,0.7200000286,0.009999990463,True,0.3443781118,0.2700000107,0.2800000012,0.009999990463,True,404.5933334,374.4400024,381.019989,6.579986572,True,True
