method_id,group,display_name,episode_idx,episode_seed,success,final_coverage,episode_reward,episode_length,repeat_visit_ratio,done_reason,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,timeout_flag,checkpoint_path
A,A,full_method_main,1,20259323,1,0.9545,172.48911758474483,182,0.07650273224043716,coverage_reached,5.4175825119018555,501.3461608886719,12.384614944458008,121.21845245361328,0.03923400864005089,0.4655570685863495,5.4175825119018555,5.4175825119018555,0.0,0.0,12.384614944458008,11.681318283081055,0.7032967209815979,0.2637362778186798,0.2637362778186798,5.934065818786621,2.905062437057495,157.3291175847451,-3.640000000000003,-0.4,-0.8000000000000004,0.0,20.0,1533.0,307.0,48.796905551975115,9.772113505842375,1.9544227011684745,50.75132825314361,151.2704072111229,6.058710373622276,0.03850978424485701,4.0,15.0,41.0,35.0,5.0,4.0,16.000000000000004,0.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,2,20259324,1,0.9503,163.2718698806074,157,0.06962025316455696,coverage_reached,4.242038249969482,575.2993774414062,11.159235954284668,139.65013122558594,0.034981291741132736,0.5890392065048218,4.242038249969482,4.242038249969482,0.0,0.0,11.159235954284668,11.159235954284668,0.0,0.0,0.0,4.923566818237305,2.7205183506011963,148.42853654727395,-3.1400000000000023,-1.0999999999999999,-0.9166666666666671,0.0,20.0,1440.0,321.0,45.836623610465814,10.217747346499687,2.0435494692999363,47.88017307976581,142.09353319244417,6.335003354829808,0.042680494615077814,11.0,8.0,20.0,33.0,4.0,9.0,18.33333333333333,0.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,3,20259325,1,0.9503,162.0284298854238,329,0.28484848484848485,coverage_reached,3.4012157917022705,365.9604797363281,8.927051544189453,112.06539916992188,0.020208287984132767,0.5567013025283813,3.4012157917022705,3.4012157917022705,0.0,0.0,8.927051544189453,8.927051544189453,0.0,0.0,0.0,4.285714149475098,2.6707191467285156,152.90842988542468,-6.579999999999948,-1.9000000000000006,-2.3999999999999986,0.0,20.0,1489.0,303.0,47.39634205276644,9.644789551368865,1.9289579102737713,49.32529996304021,146.92866036357606,5.979769521848699,0.03910686628807435,19.0,166.0,181.0,102.0,20.0,11.0,48.00000000000003,0.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,4,20259326,1,0.9512,157.7044879153749,374,0.19466666666666665,coverage_reached,5.46256685256958,511.9625549316406,11.991978645324707,109.70018005371094,0.024294568225741386,0.300899863243103,5.46256685256958,5.46256685256958,0.0,0.0,11.991978645324707,11.991978645324707,0.0,0.0,0.0,5.852941036224365,2.44038724899292,150.71782124870754,-7.4799999999999285,-3.0000000000000013,-2.5333333333333328,0.0,20.0,1458.0,347.0,46.40958140559666,11.045353050577544,2.209070610115507,48.61865201571224,143.86970235734964,6.848118891358081,0.04543668979965963,30.0,125.0,207.0,98.0,24.0,15.0,50.66666666666672,0.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,5,20259327,1,0.9523,165.88649731342494,199,0.03,coverage_reached,3.1959798336029053,457.04522705078125,6.356783866882324,154.5702667236328,0.03250948712229729,0.5241870880126953,3.1959798336029053,3.1959798336029053,0.0,0.0,6.356783866882324,6.356783866882324,0.0,0.0,0.0,3.281407117843628,2.1017587184906006,150.81649731342472,-3.980000000000003,-0.2,-0.7500000000000006,0.0,20.0,1464.0,322.0,46.60056733730697,10.24957833511806,2.0499156670236123,48.65048300433059,144.46175874565157,6.354738567773197,0.04213556660560063,2.0,24.0,44.0,39.0,6.0,0.0,15.000000000000005,0.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,6,20259328,0,0.9144,124.54760345189972,600,0.2795341098169717,max_episode_steps,4.8466668128967285,369.4483337402344,14.591666221618652,88.62244415283203,0.01393424067646265,0.15268972516059875,4.8466668128967285,4.8466668128967285,0.0,0.0,14.591666221618652,14.546667098999023,0.04500000178813934,0.028333334252238274,0.028333334252238274,5.171666622161865,3.1170687675476074,151.23093678523605,-11.999999999999833,-3.1000000000000014,-3.5833333333333286,-8.0,0.0,1470.0,313.0,46.791553269017264,9.963099437552655,1.9926198875105283,48.78417315652777,145.05381513395344,6.177121651282649,0.04084562181913093,31.0,400.0,455.0,133.0,30.0,26.0,71.6666666666667,1.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,7,20259329,1,0.9521,169.35456697797815,148,0.006711409395973154,coverage_reached,5.952702522277832,489.89190673828125,14.851351737976074,111.85926818847656,0.03871728852391243,0.5993932485580444,5.952702522277832,5.952702522277832,0.0,0.0,14.851351737976074,14.13513469696045,0.7162162065505981,0.2432432472705841,0.2432432472705841,7.054054260253906,3.1465566158294678,152.9479003113114,-2.960000000000002,-0.1,-0.5333333333333333,0.0,20.0,1475.0,375.0,46.950708212109134,11.936620731892154,2.3873241463784307,49.33803235848756,145.54719545753844,7.400704853773139,0.04838709677419353,1.0,0.0,4.0,26.0,4.0,1.0,10.666666666666668,0.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,8,20259330,0,0.9431,126.99290142958544,600,0.2878535773710483,max_episode_steps,8.001667022705078,324.6000061035156,17.406665802001953,48.90937423706055,0.015544217079877853,0.3049725890159607,8.001667022705078,8.001667022705078,0.0,0.0,17.406665802001953,17.043333053588867,0.3633333444595337,0.1550000011920929,0.1550000011920929,6.070000171661377,2.403357982635498,155.05956809625465,-11.999999999999833,-3.800000000000002,-4.2666666666666595,-8.0,0.0,1497.0,372.0,47.65098996171347,11.84112776603702,2.368225553207404,50.019215514920894,147.7180688813119,7.341499214942954,0.04734631538755249,38.0,382.0,441.0,164.0,50.0,21.0,85.3333333333333,1.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,9,20259331,1,0.9514,147.12785108450817,571,0.31643356643356646,coverage_reached,2.884413242340088,663.5306396484375,5.299474716186523,243.80401611328125,0.011095623485744,0.4320337176322937,2.884413242340088,2.884413242340088,0.0,0.0,5.299474716186523,5.299474716186523,0.0,0.0,0.0,3.39404559135437,1.8833627700805664,148.23118441783993,-11.419999999999845,-5.1999999999999975,-4.483333333333325,0.0,20.0,1436.0,331.0,45.70929965599237,10.53605723268348,2.1072114465366942,47.81651110252907,141.69882893357615,6.53235548426376,0.04406869924111312,52.0,385.0,413.0,171.0,40.0,29.0,89.66666666666659,0.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,A,full_method_main,10,20259332,0,0.9028,120.52913026608918,600,0.34608985024958405,max_episode_steps,5.670000076293945,477.4849853515625,9.90333366394043,116.39777374267578,0.013038549572229385,0.25693660974502563,5.670000076293945,5.670000076293945,0.0,0.0,9.90333366394043,9.893333435058594,0.009999999776482582,0.009999999776482582,0.009999999776482582,3.7166666984558105,2.1390581130981445,151.86246359942467,-11.999999999999833,-5.899999999999995,-5.433333333333321,-8.0,0.0,1477.0,310.0,47.01437018934589,9.867606471697517,1.9735212943395017,48.987891483685395,145.74454758697226,6.117916012452462,0.04028589993502277,59.0,383.0,465.0,195.0,47.0,42.0,108.66666666666671,1.0,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
