method_label,method_id,method_name,run_stage,checkpoint_used,checkpoint_path,checkpoint_env_steps,checkpoint_train_episode_idx,episode_index,seed,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,timeout_flag,zero_info_step_count,stall_trigger_count,recent_revisit_trigger_count,turn_ge_90_count,turn_135_count,turn_180_count,accessible_block_count,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,empty_info_reward_sum,info_reward_sum,local_frontier_block_area_mean,local_frontier_coverage,mean_block_area,obstacle_info_contribution_ratio,obstacle_info_gain_sum,obstacle_info_reward_sum,recent_revisit_penalty_sum,step_penalty_sum,terminal_bonus_sum,timeout_penalty_sum,total_accessible_unknown_area,total_frontier_cluster_count,turn_penalty_sum,turn_penalty_weight_sum,value_block_cap_hit_flag,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,value_packed_block_count,value_packed_entry_count,value_total_block_count_before_cap,value_total_entry_count_before_cap,value_truncated_block_count,value_truncated_entry_count,weighted_info_gain_sum,weighted_obstacle_info_gain_sum
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,0,20261323,20261323,162.43782124870756,246,0.9505,1,0.06477732793522267,coverage_reached,0.0,76.0,40.0,10.0,75.0,19.0,7.0,3.5284552574157715,1473.0,272.0,46.887046234872386,145.3498433281044,150.7178212487078,0.0,0.0,164.7837371826172,0.03561607961241326,8.65802890419911,5.36797792060345,-1.2000000000000002,-4.919999999999983,20.0,0.0,522.2723388671875,9.630081176757812,-2.1600000000000015,35.999999999999986,0.0,0.04471544548869133,0.04471544548869133,5.947154521942139,3.2331299781799316,3.5284552574157715,9.57317066192627,3.5284552574157715,9.630081176757812,0.0,0.056910570710897446,48.61865201571223,1.731605780839821
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,1,20261324,20261324,159.51197877900972,221,0.9512,1,0.14414414414414414,coverage_reached,0.0,78.0,22.0,20.0,60.0,18.0,7.0,4.954751014709473,1443.0,293.0,45.93211657632099,142.3895613865951,148.1719787790098,0.0,0.0,104.16552734375,0.0390250399573788,9.326479665185067,5.782417392414742,-2.4000000000000012,-4.419999999999994,20.0,0.0,494.6787414550781,11.176470756530762,-1.840000000000001,30.66666666666665,0.0,0.04072398319840431,0.04072398319840431,4.361990928649902,2.3675014972686768,4.954751014709473,11.117647171020508,4.954751014709473,11.176470756530762,0.0,0.05882352963089943,47.79741250935803,1.8652959330370136
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,2,20261325,20261325,138.51976426550107,563,0.9508,1,0.26595744680851063,coverage_reached,0.0,394.0,326.0,58.0,191.0,62.0,33.0,5.044404983520508,1384.0,332.0,44.054088247836646,136.56767356829351,143.1197642655006,0.0,0.0,97.40882873535156,0.04578047435190299,10.567888221301864,6.552090697207155,-6.960000000000005,-11.259999999999849,20.0,0.0,437.1669616699219,8.516874313354492,-6.379999999999986,106.33333333333334,0.0,0.01243339292705059,0.01243339292705059,3.0213143825531006,1.95212721824646,5.044404983520508,8.493782997131348,5.044404983520508,8.516874313354492,0.0,0.023090586066246033,46.16766589209704,2.1135776442603698
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,3,20261326,20261326,147.29964044919893,428,0.9508,1,0.18414918414918416,coverage_reached,0.0,252.0,160.0,37.0,140.0,32.0,22.0,6.014018535614014,1398.0,338.0,44.49972208849401,137.94913847433122,144.61964044919878,0.0,0.0,83.14508819580078,0.046124454148471654,10.75887415301213,6.670501974867524,-4.440000000000003,-8.559999999999906,20.0,0.0,472.7710266113281,14.721962928771973,-4.319999999999998,71.99999999999997,0.0,0.03971962630748749,0.03971962630748749,7.488317966461182,2.6037039756774902,6.014018535614014,14.635514259338379,6.014018535614014,14.721962928771973,0.0,0.08644859492778778,46.651496919096395,2.1517748306024247
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,4,20261327,20261327,102.89431039916164,600,0.8971,0,0.2795341098169717,max_episode_steps,1.0,436.0,360.0,64.0,203.0,57.0,32.0,4.078333377838135,1344.0,326.0,42.780848703101476,132.6206309796145,139.0543103991612,0.0,0.0,95.32359313964844,0.046267385750780626,10.376902289591587,6.433679419546782,-7.680000000000006,-11.999999999999833,0.0,-10.0,360.70001220703125,8.738333702087402,-6.479999999999981,107.99999999999994,0.0,0.0,0.0,3.756666660308838,2.267202615737915,4.078333377838135,8.738333702087402,4.078333377838135,8.738333702087402,0.0,0.0,44.85622916101982,2.075380457918315
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,5,20261328,20261328,-69.0734773012489,600,0.4188,0,0.9101497504159733,max_episode_steps,1.0,550.0,532.0,547.0,560.0,6.0,545.0,3.9166667461395264,502.0,109.0,15.979156286426292,49.53538448792151,51.68652269875157,0.0,0.0,176.36279296875,0.041618938526155023,3.469577759403317,2.151138210830058,-65.63999999999946,-11.999999999999833,0.0,-10.0,693.8816528320312,11.635000228881836,-33.11999999999974,552.0,0.0,0.011666666716337204,0.011666666716337204,5.965000152587891,2.9681944847106934,3.9166667461395264,11.62166690826416,3.9166667461395264,11.635000228881836,0.0,0.013333333656191826,16.673071838306956,0.693915551880664
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,6,20261329,20261329,158.1221645034627,214,0.9504,1,0.07441860465116279,coverage_reached,0.0,54.0,27.0,11.0,79.0,17.0,7.0,7.257009506225586,1415.0,319.0,45.04084889500638,139.62663157451976,145.92216450346274,0.0,0.0,71.850830078125,0.043143088991073886,10.15408536926293,6.295532928943017,-1.3200000000000003,-4.279999999999997,20.0,0.0,469.9439392089844,14.116822242736816,-2.200000000000001,36.666666666666686,0.0,0.018691588193178177,0.018691588193178177,4.598130702972412,2.073868989944458,7.257009506225586,14.09345817565918,7.257009506225586,14.116822242736816,0.0,0.023364486172795296,47.07166596885899,2.0308170738525844
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,7,20261330,20261330,170.752559816481,182,0.9546,1,0.04371584699453552,coverage_reached,0.0,26.0,3.0,8.0,55.0,17.0,7.0,5.851648330688477,1527.0,324.0,48.605919620264835,150.6783508228209,157.07255981648095,0.0,0.0,135.89791870117188,0.04070863173765555,10.313240312354827,6.394208993659994,-0.96,-3.640000000000003,20.0,0.0,548.1538696289062,12.032966613769531,-1.720000000000001,28.666666666666654,0.0,0.06593406945466995,0.06593406945466995,5.461538314819336,2.89076828956604,5.851648330688477,11.912087440490723,5.851648330688477,12.032966613769531,0.0,0.12087912112474442,50.66856768273578,2.0626480624709638
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,8,20261331,20261331,168.7669821338396,176,0.9559,1,0.062146892655367235,coverage_reached,0.0,25.0,1.0,9.0,40.0,7.0,5.0,5.670454502105713,1500.0,329.0,47.746482927568636,148.01409707546267,154.5069821338396,0.0,0.0,107.24457550048828,0.04202324690254184,10.472395255446713,6.492885058376964,-1.08,-3.5200000000000027,20.0,0.0,530.4829711914062,14.454545021057129,-1.1400000000000006,18.999999999999993,0.0,0.34659090638160706,0.34659090638160706,6.920454502105713,2.88248348236084,5.670454502105713,13.863636016845703,5.670454502105713,14.454545021057129,0.0,0.5909090638160706,49.840961978657965,2.0944790510893427
E,Anew_E_no_dual_state_split,no_dual_state_split_flat_value_injected_q,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_E_no_dual_state_split.pt,650000,1351,9,20261332,20261332,113.116215371916,600,0.9474,0,0.2612312811980033,max_episode_steps,1.0,408.0,275.0,62.0,178.0,49.0,19.0,7.078333377838135,1431.0,337.0,45.55014471290045,141.2054486099912,147.8562153719154,0.0,0.0,73.3330078125,0.04498131340096114,10.72704316439376,6.650766761924133,-7.440000000000006,-11.999999999999833,0.0,-10.0,469.86834716796875,12.914999961853027,-5.29999999999999,88.33333333333329,0.0,0.0,0.0,3.609999895095825,1.9441601037979126,7.078333377838135,12.914999961853027,7.078333377838135,12.914999961853027,0.0,0.0,47.695553345779246,2.1454086328787496
